ID,Min,Max
Open,6.4042479808406805,72.1136775336204
High,7.882151695659209,73.73190338707452
Low,5.929859296991042,71.01625477772282
Close,6.395125389099121,72.68098449707031
Volume,1071600.0,24638900.0
Sentiment,-2.857607118785381,3.1857937257736917
US Federal Funds Rate,0.04,5.33
1 Mo,0.0,6.02
3 Mo,0.0,5.63
6 Mo,0.02,5.61
1 Yr,0.04,5.49
2 Yr,0.09,5.19
3 Yr,0.1,5.03
5 Yr,0.19,4.95
7 Yr,0.36,5.0
10 Yr,0.52,4.98
20 Yr,0.87,5.3
30 Yr,0.99,5.11
Corn_open,302.75,817.5
Corn_close,302.75,818.25
Corn_volume,0.0,523849.0
Tmin,-15.8,13.6
Tmax,-11.05,20.3
Awnd,0.1,6.85
Prcp,0.0,44.45
Tmin_avg,-7.344285714285714,8.974285714285715
Tmax_avg,-2.1728571428571426,15.221428571428572
Awnd_avg,1.5814285714285714,3.1914285714285717
Prcp_avg,0.0357142857142857,4.491428571428571
Tmin_dev,-9.40857142857143,8.62142857142857
Tmax_dev,-9.805714285714286,10.582857142857144
Awnd_dev,-2.17,4.087142857142856
Prcp_dev,-4.491428571428571,39.95857142857143
Combined_dev,0.0246278346299223,3.6007931021246065
